"region","lon","lat"
"CAGUAS","-66.11483","17.9833"
"PONCE","-66.36784","18.0732"
"HUMACAO","-65.87582","18.05066"
"MAYAGUEZ","-66.96244","18.07934"
"PONCE","-66.45696","18.05588"
"HUMACAO","-65.92984","18.22678"
"BAYAMON","-66.15082","18.43417"
"MAYAGUEZ","-67.16493","18.46965"
"PONCE","-66.729973","18.148034"
"MAYAGUEZ","-67.02716","18.4697"
"HUMACAO","-65.88934","18.33612"
"HUMACAO","-65.96531","18.19024"
"BAYAMON","-66.16018","18.35157"
"HUMACAO","-65.90344","18.22539"
"CAGUAS","-66.29445","18.18352"
"ARECIBO","-66.54644","18.43553"
"ARECIBO","-66.35893","18.41528"
"CAGUAS","-66.06222","17.96755"
"HUMACAO","-65.89412","18.14595"
"MAYAGUEZ","-67.14831","18.44241"
"MAYAGUEZ","-67.15607","18.4176"
"PONCE","-66.72544","18.16602"
"SAN JUAN","-66.02834","18.33214"
"PONCE","-66.37419","18.07602"
"ARECIBO","-66.7884","18.42787"
"CAGUAS","-66.03634","18.22767"
"MAYAGUEZ","-67.13304","18.20456"
"PONCE","-66.61794","18.03298"
"MAYAGUEZ","-67.17712","18.33827"
"ARECIBO","-66.73029","18.46265"
"CAGUAS","-66.21367","18.09472"
"SAN JUAN","-66.00487","18.41079"
"ARECIBO","-66.38986","18.44552"
"CAGUAS","-66.05509","17.99222"
"MAYAGUEZ","-67.029998","18.488838"
"SAN JUAN","-66.1114","18.4656"
"BAYAMON","-66.21663","18.3869"
"CAGUAS","-66.05954","17.97133"
"SAN JUAN","-66.04571","18.35929"
"BAYAMON","-66.1867","18.30055"
"CAGUAS","-66.01573","18.21861"
"CAGUAS","-66.16442","17.95605"
"BAYAMON","-66.25396","18.40243"
"PONCE","-66.86064","18.03668"
"BAYAMON","-66.2489","18.39091"
"CAGUAS","-66.2512","18.02498"
"ARECIBO","-66.33306","18.43816"
"HUMACAO","-65.71484","18.23432"
"MAYAGUEZ","-66.95729","18.07944"
"PONCE","-66.35747","18.07834"
"BAYAMON","-66.22946","18.4442"
"PONCE","-66.93638","17.96766"
"BAYAMON","-66.39252","18.22397"
"ARECIBO","-66.26696","18.46249"
"HUMACAO","-65.88425","18.3876"
"SAN JUAN","-65.95893","18.38445"
"PONCE","-66.8032","18.28419"
"BAYAMON","-66.89","18.308"
"PONCE","-66.74315","18.06551"
"SAN JUAN","-66.09599","18.37651"
"PONCE","-66.58487","18.01205"
"HUMACAO","-65.65554","18.34179"
"PONCE","-66.58811","18.21938"
"ARECIBO","-66.83816","18.29084"
"BAYAMON","-66.27853","18.31365"
"HUMACAO","-66.01649","18.00749"
"BAYAMON","-66.14879","18.38037"
"SAN JUAN","-66.03896","18.3547"
"ARECIBO","-66.47404","18.34071"
"HUMACAO","-65.89991","18.24354"
"ARECIBO","-66.48107","18.42371"
"ARECIBO","-66.93604","18.47474"
"HUMACAO","-65.87768","18.03961"
"SAN JUAN","-66.09315","18.3798"
"PONCE","-66.62222","17.99976"
"MAYAGUEZ","-67.07915","18.37883"
"SAN JUAN","-66.11586","18.38058"
"MAYAGUEZ","-66.94436","18.07258"
"HUMACAO","-65.73694","18.2083"
"SAN JUAN","-66.05916","18.41281"
"MAYAGUEZ","-67.15569","18.36866"
"PONCE","-66.61019","18.01171"
"BAYAMON","-66.1717","18.397"
"CAGUAS","-66.10653","18.205"
"HUMACAO","-65.82277","18.14893"
"SAN JUAN","-66.0433","18.42046"
